"","#test","null_prob","cor","power_Bonferroni","power_Holm","power_Hochberg","power_Hommel","power_Sidak","power_SidakSD","power_BH","power_BY","power_TSBH","power_fwer_method","power_fdr_method","power_all"
"1",50,0.1,0,31.2818,34.9741,35.0295,37.8909,31.5316,35.2852,75.0011,49.52,88.0139,37.8916,88.0139,88.0139
"2",50,0.1,0.3,31.1168,36.153,36.275,39.7427,31.3741,36.4755,72.215,47.7027,81.957,39.745,81.9695,81.9698
"3",50,0.1,0.5,30.5693,36.0934,36.26,40.3093,30.838,36.4157,70.4805,46.4357,78.583,40.3161,78.6227,78.6241
"4",50,0.3,0,31.2617,33.9934,34.024,35.5537,31.5077,34.2797,71.4654,45.8194,80.8717,35.5549,80.8717,80.8717
"5",50,0.3,0.3,31.4622,34.9928,35.0422,36.9622,31.7144,35.2767,69.74,45.0719,77.2769,36.9667,77.2919,77.2933
"6",50,0.3,0.5,30.892,35.74,35.8395,39.0449,31.1434,36.0322,69.559,45.879,76.9151,39.0505,76.9517,76.9524
"7",50,0.5,0,31.2912,33.0844,33.0948,33.8532,31.5352,33.3556,66.2408,40.538,71.72,33.8732,71.72,71.72
"8",50,0.5,0.3,31.3504,33.737,33.7659,34.7574,31.6,34.01,65.0137,41.1267,69.7585,34.7752,69.78,69.7804
"9",50,0.5,0.5,31.3617,34.2683,34.3034,35.6666,31.609,34.5431,64.9576,42.0748,69.5721,35.6797,69.6269,69.6286
"10",50,0.7,0,31.0215,31.87,31.8762,32.1262,31.2823,32.1146,55.5508,31.4738,57.1023,32.2062,57.1269,57.1269
"11",50,0.7,0.3,31.505,32.3692,32.38,32.64,31.7525,32.63,52.88,31.665,53.9808,32.7242,54.0783,54.085
"12",50,0.7,0.5,30.5696,32.6604,32.6839,33.5104,30.827,32.9352,61.0074,38.1617,64.2287,33.5317,64.2987,64.3009
"13",50,0.9,0,31.1811,31.7567,31.7644,31.9333,31.4633,32.0367,49.9911,27.85,50.5267,32.0733,50.5844,50.5889
"14",50,0.9,0.3,31.245,31.32,31.32,31.345,31.48,31.54,35.03,20.49,34.615,31.54,35.035,35.175
"15",50,0.9,0.5,31.3275,31.61,31.61,31.6825,31.6125,31.8925,39.885,23.905,39.6175,31.895,39.92,39.9775
"16",100,0.1,0,24.9337,27.6391,27.6623,31.4548,25.1554,27.8963,76.2967,48.6501,91.2974,31.4548,91.2974,91.2974
"17",100,0.1,0.3,25.0681,28.9264,28.9822,33.3548,25.2841,29.1926,73.0173,46.0495,83.493,33.3554,83.5035,83.5036
"18",100,0.1,0.5,24.8876,29.2198,29.2809,34.0945,25.1019,29.4782,71.0367,45.2553,79.053,34.0965,79.0823,79.0827
"19",100,0.3,0,24.8888,26.7236,26.7377,28.4405,25.1019,26.9608,72.0144,43.8551,82.2681,28.4405,82.2681,82.2681
"20",100,0.3,0.3,24.7901,27.4664,27.4888,29.7461,25.0023,27.713,69.7415,42.6484,77.7766,29.748,77.7876,77.7877
"21",100,0.3,0.5,25.0176,28.3564,28.3792,31.4109,25.2266,28.6075,69.0092,43.3371,75.8397,31.4136,75.8589,75.8595
"22",100,0.5,0,24.8431,26.0979,26.1013,26.9162,25.0585,26.3283,66.6817,38.4579,72.8913,26.9173,72.8913,72.8913
"23",100,0.5,0.3,25.1826,26.6679,26.6732,27.493,25.4021,26.9023,63.2215,37.0691,67.3389,27.5004,67.3566,67.357
"24",100,0.5,0.5,24.6061,26.7205,26.7333,28.1816,24.8254,26.9607,63.4067,38.4123,68.1209,28.1851,68.1507,68.1512
"25",100,0.7,0,24.7715,25.3627,25.3642,25.5992,24.9892,25.5912,54.9508,28.6931,56.74,25.6554,56.74,56.74
"26",100,0.7,0.3,25.0864,25.8789,25.8804,26.1896,25.3036,26.1007,54.5821,30.4168,56.1518,26.2286,56.2039,56.2064
"27",100,0.7,0.5,25.3241,26.4072,26.4131,26.8941,25.55,26.6328,55.8709,32.7737,57.7216,26.9178,57.7969,57.8006
"28",100,0.9,0,24.9133,25.0978,25.1,25.1467,25.1244,25.2911,39.3578,19.3644,39.11,25.2944,39.3944,39.4022
"29",100,0.9,0.3,25.0587,25.2387,25.2387,25.3025,25.2687,25.4675,38.2637,19.9537,37.9825,25.47,38.3013,38.3275
"30",100,0.9,0.5,25.153,25.441,25.444,25.516,25.379,25.659,40.545,22.302,40.433,25.664,40.667,40.688
